"Year","Release Type","Site","Installation","Nuclide Type","Activity"
"2024","Atmospheric","Smolensk","Aggregated Record","C-14","1.930000e-1"
"2016","Liquid","Zaporozhye","Zaporizhzhia 5","Beta/Gamma","0.000000e+0"
"1986","Liquid","Brunsbuettel","Aggregated Record","H-3","5.000000e+2"
"2018","Liquid","Bradwell","Aggregated Record","H-3","0.000000e+0"
"2022","Atmospheric","Kori","Kori 3","H-3","4.270000e+3"
"2012","Liquid","Oskarshamn","Oskarshamn 1-2","Other","9.146177e-2"
"2020","Atmospheric","Kori","Kori 1","Alpha","0.000000e+0"
"2020","Atmospheric","River Bend","Aggregated Record","Noble Gases","4.202783e+3"
"2018","Atmospheric","Tihange","Tihange 1","Iodine","6.200000e-3"
"1986","Liquid","Mihama","Aggregated Record","H-3","2.200000e+4"
"2016","Atmospheric","Dukovany","Dukovany 1-2","Beta/Gamma","3.440000e-3"
"2014","Atmospheric","McGuire","Aggregated Record","Noble Gases","2.058359e+0"
"1994","Atmospheric","Novovoronezh","Novovoronezh 2-5","Beta/Gamma","6.800000e-1"
"2016","Atmospheric","Beznau","Aggregated Record","Iodine","6.158400e-4"
"2020","Liquid","Kori","Kori 3","H-3","5.919000e+3"
"2010","Liquid","Braidwood","Braidwood 1","Beta/Gamma","1.083658e-2"
"2012","Liquid","Zaporozhye","Zaporizhzhia 1 ","Alpha","0.000000e+0"
"2020","Atmospheric","Grohnde (KWG)","Aggregated Record","Noble Gases","1.513450e+2"
"2024","Liquid","Hanbit","Hanbit 3","Iodine","0.000000e+0"
"1990","Atmospheric","Chernobyl","Aggregated Record","Iodine","1.080000e+1"
"2017","Liquid","Mochovce","Aggregated Record","Beta/Gamma","4.228050e-3"
"2018","Liquid","Khmelnitski","Khmelnitski 2","H-3","0.000000e+0"
"2011","Atmospheric","H.B. Robinson","Aggregated Record","Iodine","3.905000e-6"
"2016","Atmospheric","Zaporozhye","Zaporizhzhia 4","H-3","0.000000e+0"
"2013","Liquid","Fugen ATR","Aggregated Record","Other","0.000000e+0"
"1985","Liquid","Fessenheim","Aggregated Record","H-3","3.000000e+4"
"2009","Atmospheric","Santa Maria de Garona","Aggregated Record","Iodine","2.399990e-1"
"2015","Atmospheric","Kozloduy","Auxiliary building","Noble Gases","5.900000e-2"
"2016","Atmospheric","Bruce","Bruce B 5-8","H-3","5.700000e+5"
"2019","Atmospheric","Darlington","Aggregated Record","H-3","2.000000e+5"
"2015","Liquid","Farley","Farley 2","Beta/Gamma","3.898830e-2"
"2014","Atmospheric","Zaporozhye","Zaporizhzhia 3","Alpha","0.000000e+0"
"1994","Atmospheric","Dounreay","PFR Dounreay","H-3","2.000000e+3"
"1994","Liquid","Crystal River","Aggregated Record","H-3","1.220000e+4"
"2020","Liquid","Hanbit","Hanbit 4","C-14","0.000000e+0"
"1988","Atmospheric","River Bend","Aggregated Record","Beta/Gamma","1.805000e-2"
"2012","Atmospheric","South Ukraine","South Ukraine 3","Other","0.000000e+0"
"2008","Atmospheric","Zaporozhye","Zaporizhzhia 1 ","H-3","0.000000e+0"
"2007","Atmospheric","Barseback","Barsebäck 1","Beta/Gamma","2.151000e-3"
"2020","Liquid","Kori","Kori 4","C-14","0.000000e+0"
"2019","Atmospheric","Hanbit","Hanbit 2","C-14","3.240000e+1"
"2017","Atmospheric","Chinon","Aggregated Record","H-3","1.350000e+3"
"2019","Liquid","River Bend","Aggregated Record","Beta/Gamma","1.403882e-2"
"2015","Liquid","Bruce","Bruce A 1-4","Particulates","9.170000e-1"
"2009","Atmospheric","Crystal River","Aggregated Record","Beta/Gamma","1.305700e-5"
"2015","Atmospheric","St. Alban","Aggregated Record","H-3","1.620000e+3"
"1985","Atmospheric","Indian Point","Aggregated Record","Beta/Gamma","2.097467e+2"
"2017","Atmospheric","Hunterston","Hunterston A (A1-A2)","H-3","6.280000e-1"
"2014","Atmospheric","Khmelnitski","Drain valve","Iodine","1.360000e-2"
"2014","Atmospheric","Atucha","Atucha 2","C-14","2.700000e+2"
"1988","Atmospheric","Three Mile Island","Aggregated Record","Beta/Gamma","1.002510e+0"
"1989","Atmospheric","Kozloduy","Aggregated Record","Beta/Gamma","3.250000e+0"
"2007","Liquid","Oldbury","Aggregated Record","H-3","1.780000e+2"
"2008","Atmospheric","Cattenom","Aggregated Record","H-3","2.890000e+2"
"2015","Atmospheric","Hanbit","Hanbit 1","Noble Gases","1.260000e+0"
"1960","Liquid","Sellafield","Aggregated Record","Alpha","3.051700e+3"
"2004","Atmospheric","Bugey","Aggregated Record","Beta/Gamma","3.427000e-3"
"2018","Liquid","Wolsong","Wolsong 4","Beta/Gamma","9.530000e-4"
"2018","Atmospheric","Oyster Creek","Aggregated Record","C-14","6.092500e+0"
"2012","Atmospheric","Braidwood","Braidwood 1","Beta/Gamma","1.170000e-5"
"1986","Atmospheric","Water Ford","Aggregated Record","Beta/Gamma","5.920000e-3"
"2016","Liquid","St. Lucie","St. Lucie 1","Iodine","6.130000e-6"
"2023","Atmospheric","Atucha","Atucha 1","Noble Gases","4.685690e+4"
"2009","Atmospheric","McGuire","Aggregated Record","H-3","1.663150e+2"
"2013","Atmospheric","Khmelnitski","Drain valve","Beta/Gamma","2.587030e-3"
"2007","Liquid","Forsmark","Forsmark 3","Other","1.141700e-1"
"2014","Liquid","Indian Point","Indian Point 3","Beta/Gamma","7.976040e-3"
"2007","Atmospheric","Zaporozhye","Zaporizhzhia 4","Other","0.000000e+0"
"2011","Liquid","Ringhals","Ringhals 3","H-3","1.460000e+4"
"2008","Liquid","Kjeller","IFE Kjeller, all installations","Iodine","4.616000e-2"
"2012","Atmospheric","Hunterston","Hunterston A (A1-A2)","Other","1.600000e-3"
"1996","Atmospheric","Peach Bottom","Aggregated Record","Iodine","5.600000e-1"
"2008","Atmospheric","Kori","Kori 3","Noble Gases","2.670000e+2"
"2010","Atmospheric","Vogtle","Vogtle 1","Beta/Gamma","4.503000e-7"
"2021","Atmospheric","Fukushima-Daini","Aggregated Record","Beta/Gamma","0.000000e+0"
"2009","Liquid","Hunterston","Hunterston B (B1-B2)","Other","1.240000e+1"
"1994","Atmospheric","Leningrad","Aggregated Record","Beta/Gamma","7.640000e+1"
"2017","Liquid","Zaporozhye","Drain valve 2","Beta/Gamma","0.000000e+0"
"2011","Liquid","Smolensk","Aggregated Record","H-3","2.460000e+2"
"2009","Liquid","Olkiluoto","Olkiluoto 1","H-3","1.280000e+3"
"2019","Liquid","Loviisa","Loviisa 2","Particulates","1.500000e-6"
"1987","Atmospheric","Tokai","Tokai-1","Iodine","3.100000e-3"
"1990","Liquid","Ranch Seco","Aggregated Record","H-3","5.069000e+2"
"2011","Atmospheric","Vandellos","Vandellos 2","Iodine","1.640000e-2"
"2017","Liquid","Hartlepool","Aggregated Record","Other","1.600000e+0"
"2009","Atmospheric","Kalinin","Aggregated Record","Noble Gases","3.610000e+4"
"2017","Atmospheric","Chapelcross","Aggregated Record","Other","1.490000e+0"
"1986","Atmospheric","Oskarshamn","Aggregated Record","Noble Gases","7.980000e+5"
"1985","Liquid","Arkansas One","Aggregated Record","H-3","2.102000e+4"
"2018","Liquid","Fitzpatrick","Aggregated Record","Beta/Gamma","2.582000e-4"
"1952","Liquid","Sellafield","Aggregated Record","Beta/Gamma","4.520000e+5"
"1993","Atmospheric","Shika","Shika 1","H-3","1.300000e+1"
"2004","Liquid","Civaux","Aggregated Record","Beta/Gamma","1.019970e+0"
"2013","Atmospheric","Penly","Aggregated Record","Iodine","1.420000e-2"
"2009","Liquid","Ringhals","Ringhals 3","Alpha","3.534400e-4"
"2018","Atmospheric","Doel","Aggregated Record","Alpha","5.000000e-4"
"1994","Atmospheric","Three Mile Island","Aggregated Record","Beta/Gamma","8.100000e-4"
"2018","Liquid","Farley","Farley 2","H-3","7.401000e+2"
"2015","Atmospheric","Penly","Aggregated Record","H-3","9.310000e+2"
"2020","Atmospheric","Bilibino","Aggregated Record","Noble Gases","4.057800e+5"
"2017","Atmospheric","Tihange","Tihange 3","Noble Gases","2.564070e+3"
"2019","Atmospheric","Zaporozhye","Zaporizhzhia 3","Other","0.000000e+0"
"2020","Liquid","Shimane","Aggregated Record","Alpha","0.000000e+0"
"2023","Atmospheric","Atucha","Atucha 2","Iodine","2.667294e-1"
"2016","Atmospheric","Hanbit","Hanbit 2","H-3","7.090000e+3"
"2019","Atmospheric","Laguna Verde","Aggregated Record","Iodine","1.984680e-2"
"2019","Atmospheric","Kozloduy","Auxiliary building","H-3","1.410000e+2"
"2018","Liquid","Heysham","Heysham 1 (Unit A)","H-3","3.190000e+5"
"2013","Atmospheric","Salem","Salem 2","C-14","1.170000e+1"
"2008","Liquid","Palisades","Aggregated Record","Beta/Gamma","1.760130e-2"
"2022","Atmospheric","Hinkley Point","Hinkley Point B (Unit B)","Beta/Gamma","3.690957e+1"
"2005","Liquid","Civaux","Aggregated Record","C-14","3.460000e+1"
"2013","Liquid","Kewaunee","Aggregated Record","Beta/Gamma","1.590210e-2"
"1991","Atmospheric","Vandellos","Vandellos 1","Noble Gases","4.320000e+2"
"1985","Atmospheric","San Onofre","Aggregated Record","Beta/Gamma","1.861100e-1"
"1989","Liquid","Turkey Point","Aggregated Record","H-3","1.694600e+4"
"1994","Atmospheric","Chinshan","Aggregated Record","Iodine","6.920000e-1"
"2009","Atmospheric","Comanche Peak","Aggregated Record","H-3","5.624409e+1"
"2018","Liquid","Chapelcross","Aggregated Record","Alpha","3.800000e-3"
"2021","Liquid","ROSTOV","Aggregated Record","Alpha","0.000000e+0"
"2006","Atmospheric","Chinon","Aggregated Record","Beta/Gamma","2.881000e-3"
"1990","Liquid","Hanbit","Aggregated Record","H-3","4.260000e+4"
"2016","Atmospheric","Zaporozhye","Zaporizhzhia 6","Alpha","0.000000e+0"
"1988","Atmospheric","Leibstadt","Aggregated Record","Noble Gases","1.300000e+4"
"2018","Liquid","Zaporozhye","Zaporizhzhia 6","Beta/Gamma","0.000000e+0"
"2013","Liquid","Water Ford","Aggregated Record","Iodine","8.230000e-6"
"2012","Liquid","Kori","Kori 1","H-3","1.930000e+3"
"2004","Atmospheric","Golfech","Aggregated Record","H-3","1.950000e+3"
"1994","Atmospheric","Three Mile Island","Aggregated Record","Iodine","4.900000e-2"
"2013","Liquid","Point Lepreau","Aggregated Record","Alpha","8.600000e-3"
"2010","Atmospheric","Clinton","Aggregated Record","Iodine","2.405900e-5"
"2022","Atmospheric","Bruce","Bruce 5","Noble Gases","4.100000e+4"
"1985","Atmospheric","Kuosheng","Aggregated Record","Iodine","4.400000e-3"
"1985","Liquid","Chinshan","Aggregated Record","H-3","1.740000e+2"
"2014","Liquid","Fort Calhoun","Aggregated Record","H-3","1.864000e+2"
"1994","Liquid","Farley","Aggregated Record","H-3","5.010000e+4"
"2016","Atmospheric","Enrico Fermi","Enrico Fermi 2","Beta/Gamma","4.112130e-3"
"2007","Atmospheric","Embalse","Aggregated Record","Particulates","2.300000e-1"
"2008","Atmospheric","Zaporozhye","Drain valve 1","Particulates","1.072280e-1"
"1997","Atmospheric","Zaporozhye","Aggregated Record","Noble Gases","1.120000e+5"
"2017","Atmospheric","Byron","Byron 1","Iodine","2.830000e-7"
"1995","Atmospheric","Pickering","Pickering 5-8","Iodine","1.000000e-1"
"2008","Atmospheric","Golfech","Aggregated Record","H-3","1.240000e+3"
"2013","Atmospheric","Temelin","Temelin-2","Iodine","1.898600e-2"
"2019","Atmospheric","Olkiluoto","Olkiluoto 2","Alpha","2.540000e-5"
"2016","Atmospheric","Point Lepreau","Aggregated Record","C-14","1.100000e+2"
"2020","Liquid","Grohnde (KWG)","Aggregated Record","Alpha","0.000000e+0"
"1964","Liquid","Sellafield","Aggregated Record","Beta/Gamma","2.813640e+6"
"2017","Atmospheric","Nine Mile Point","Nine Mile Point 2","C-14","1.984000e+1"
"2003","Liquid","Almaraz","Aggregated Record","Iodine","1.517557e-1"
"2020","Atmospheric","Callaway","Aggregated Record","Noble Gases","2.547600e-1"
"2024","Atmospheric","Hinkley Point","Hinkley Point B (Unit B)","Iodine","2.460000e-3"
"2013","Liquid","Oconee","Aggregated Record","H-3","1.068177e+3"
"2020","Atmospheric","Hanbit","Hanbit 2","Alpha","0.000000e+0"
"2016","Atmospheric","Kozloduy","Auxiliary building","H-3","1.250000e+2"
"2017","Liquid","Hanbit","Hanbit 1","H-3","3.700000e+3"
"2007","Atmospheric","Loviisa","Loviisa 2","Beta/Gamma","3.295000e-3"
"2015","Liquid","Hinkley Point","Hinkley Point B (BA-BB)","H-3","2.430000e+5"
"2018","Atmospheric","Zaporozhye","Zaporizhzhia 4","Particulates","2.670000e-2"
"2022","Atmospheric","Gentilly","Gentilly 2","C-14","4.380000e+0"
"2016","Atmospheric","Koeberg","Aggregated Record","Noble Gases","1.255592e+2"
"1986","Liquid","Point Beach","Aggregated Record","H-3","3.000000e+4"
"2008","Atmospheric","Novovoronezh","Aggregated Record","Beta/Gamma","6.760000e-1"
"2018","Liquid","Tricastin","Aggregated Record","Iodine","2.120000e-2"
"1986","Atmospheric","Brunsbuettel","Aggregated Record","C-14","7.200000e+2"
"2016","Atmospheric","Oskarshamn","Oskarshamn 1","Alpha","2.868666e-6"
"2008","Atmospheric","Farley","Farley 1","Beta/Gamma","1.270200e-6"
"1998","Atmospheric","Budapest University of Technology and Economics","Training Reactor","Short-Lived","0.000000e+0"
"2010","Atmospheric","Zaporozhye","Zaporizhzhia 2","Beta/Gamma","1.413300e-3"
"2019","Atmospheric","Browns Ferry","Aggregated Record","Beta/Gamma","8.696560e-4"
"2008","Atmospheric","Palo Verde","Palo Verde 2","Beta/Gamma","1.494820e-3"
"2008","Atmospheric","Golfech","Aggregated Record","C-14","4.050000e+2"
"2019","Atmospheric","Tricastin","Aggregated Record","C-14","5.570000e+2"
"2016","Liquid","Tsuruga","Tsuruga 1","H-3","1.400000e+2"
"1989","Liquid","Lasalle","Aggregated Record","H-3","3.960000e+1"
"2017","Atmospheric","Palo Verde","Palo Verde 3","C-14","4.520000e+0"
"2021","Atmospheric","Bruce","Bruce B 5-8","Alpha","3.500000e-5"
"2010","Atmospheric","Rovno","Rovno-4","Particulates","3.004000e-2"
"2017","Atmospheric","Surry","Aggregated Record","H-3","4.950000e+1"
"2013","Atmospheric","Hinkley Point","Hinkley Point A (AA-AB)","Other","1.950000e-4"
"1997","Atmospheric","Dukovany","Aggregated Record","Noble Gases","5.590000e+3"
"2019","Liquid","Bugey","Aggregated Record","H-3","5.680000e+4"
"2013","Atmospheric","Millstone","Millstone 1","H-3","2.764400e+0"
"2008","Liquid","Farley","Farley 1","H-3","5.616000e+2"
"2008","Atmospheric","Ohi","Aggregated Record","Iodine","1.700000e-3"
"2001","Liquid","Paks","Aggregated Record","Iodine","1.220000e-2"
"2017","Atmospheric","Ringhals","Ringhals 1","C-14","3.050000e+2"
"2008","Atmospheric","Wylfa","Aggregated Record","Beta/Gamma","1.540000e+2"
"1989","Liquid","Point Beach","Aggregated Record","H-3","2.068300e+4"
"2020","Atmospheric","Golfech","Aggregated Record","H-3","7.760000e+2"
"1994","Atmospheric","Browns Ferry","Aggregated Record","Iodine","5.000000e-1"
"2017","Liquid","Surry","Aggregated Record","Beta/Gamma","9.615270e-3"
"2018","Atmospheric","Kozloduy","Kozloduy-6","Iodine","4.310000e-3"
"2013","Atmospheric","Dungeness B","Aggregated Record","Noble Gases","7.420000e+3"
"2009","Liquid","Embalse","Aggregated Record","Particulates","4.900000e+0"
"1991","Atmospheric","Bohunice","Bohunice 1","Iodine","1.790000e+0"
"2018","Atmospheric","Diablo Canyon","Aggregated Record","Noble Gases","1.103561e+0"
"2019","Liquid","Dungeness A","Dungeness A (1-2)","H-3","4.420000e+0"
"2019","Atmospheric","Palo Verde","Palo Verde 1","C-14","4.520000e+0"
"2024","Atmospheric","Hanbit","Hanbit 5","C-14","1.411000e+1"
"2018","Liquid","Watts Bar","Watts Bar-1","H-3","3.914086e+3"
"2009","Atmospheric","Zaporozhye","Drain valve 1","Beta/Gamma","7.242000e-3"
"2008","Atmospheric","Braidwood","Braidwood 1","Noble Gases","3.037020e+1"
"2019","Atmospheric","Vandellos","Vandellos 2","Beta/Gamma","1.194600e-2"
"2012","Atmospheric","Point Beach","Aggregated Record","C-14","1.168000e+1"
"1995","Atmospheric","Rovno","Aggregated Record","Iodine","1.390000e+0"
"2010","Atmospheric","Salem","Salem 1","C-14","1.008000e+1"
"2013","Liquid","Flamanville","Aggregated Record","Iodine","9.640000e-3"
"2017","Atmospheric","Zaporozhye","Zaporizhzhia 1 ","Alpha","0.000000e+0"
"2020","Liquid","Unterweser","Aggregated Record","Alpha","2.800000e-4"
"2008","Liquid","Hanul","Hanul 4","Beta/Gamma","0.000000e+0"
"2019","Atmospheric","Atucha","Atucha 2","Iodine","6.120000e+0"
"2008","Liquid","Bugey","Aggregated Record","C-14","4.500000e+1"
"2020","Atmospheric","Columbia","Aggregated Record","Beta/Gamma","7.686000e-5"
"1985","Liquid","Crystal River","Aggregated Record","H-3","6.510000e+3"
"2009","Atmospheric","Hanbit","Hanbit 4","Beta/Gamma","2.661000e-4"
"1985","Atmospheric","Wolsong","Wolsong Aggregated Record","H-3","8.972000e+4"
"2007","Liquid","Ringhals","Ringhals 4","H-3","9.960000e+3"
"2020","Atmospheric","Monticello","Aggregated Record","Noble Gases","1.563736e+2"
"2007","Liquid","Cattenom","Aggregated Record","Iodine","1.900000e-2"
"2009","Atmospheric","Vogtle","Vogtle 1","Beta/Gamma","1.526640e-4"
"2017","Atmospheric","Khmelnitski","Khmelnitski 1","C-14","0.000000e+0"
"2014","Atmospheric","Perry","Aggregated Record","Iodine","6.075000e-4"
"2011","Liquid","Chapelcross","Aggregated Record","H-3","8.660000e+0"
"2015","Atmospheric","Forsmark","Forsmark 1","Noble Gases","4.534933e+2"
"2002","Liquid","Cap de la Hague","Aggregated Record","Beta/Gamma","8.446933e+3"
"2003","Liquid","Dampierre","Aggregated Record","Beta/Gamma","1.502640e+0"
"2015","Atmospheric","Fessenheim","Aggregated Record","Iodine","3.950000e-3"
"2009","Liquid","Fugen ATR","Aggregated Record","Other","0.000000e+0"
"2023","Atmospheric","Kori","Shin-Kori 1","Noble Gases","1.303230e+3"
"2019","Liquid","Blayais","Aggregated Record","Iodine","1.230000e-2"
"1988","Atmospheric","Rovno","Aggregated Record","Noble Gases","2.410000e+5"
"2015","Atmospheric","Shika","Shika 1","Noble Gases","0.000000e+0"
"2019","Atmospheric","Tihange","Tihange 3","H-3","2.184260e+3"
"2017","Liquid","Hartlepool","Aggregated Record","Beta/Gamma","2.832173e+3"
"2016","Atmospheric","Belleville","Aggregated Record","Noble Gases","5.146096e+2"
"2007","Atmospheric","Barseback","Barsebäck 1","Alpha","2.020500e-6"
"2019","Atmospheric","Kozloduy","Kozloduy-5","Noble Gases","2.477606e+2"
"2023","Liquid","Wolsong","Wolsong 3","C-14","9.190000e-1"
"2018","Atmospheric","Barseback","Barsebäck 1","Alpha","1.466157e-6"
"2008","Atmospheric","Peach Bottom","Aggregated Record","Beta/Gamma","4.373609e-3"
"1987","Atmospheric","McGuire","Aggregated Record","Beta/Gamma","3.896840e+0"
"2008","Liquid","Hunterston","Hunterston A (A1-A2)","Alpha","1.350000e-1"
"2013","Liquid","Cooper","Aggregated Record","Beta/Gamma","6.894090e-3"
"2009","Liquid","Farley","Farley 1","Beta/Gamma","1.057708e-2"
"2013","Liquid","Tokai","Tokai-2","H-3","8.600000e+1"
"2017","Liquid","Farley","Farley 1","Beta/Gamma","4.568806e-2"
"1989","Atmospheric","Perry","Aggregated Record","Beta/Gamma","1.000000e-2"
"2003","Liquid","St. Laurent","Aggregated Record","H-3","1.740000e+4"
"2022","Liquid","Goesgen","Aggregated Record","H-3","1.900000e+4"
"2012","Atmospheric","Duane Arnold 1","Aggregated Record","Noble Gases","1.276040e+1"
"2009","Atmospheric","Palo Verde","Palo Verde 2","H-3","7.441086e+2"
"2022","Atmospheric","Sizewell A","Aggregated record","Alpha","2.920000e-5"
"2007","Atmospheric","South Ukraine","South Ukraine 1-2","Beta/Gamma","4.207764e-2"
"2017","Atmospheric","Water Ford","Aggregated Record","Noble Gases","7.381000e-1"
"1997","Liquid","Beznau","Aggregated Record","H-3","1.200000e+4"
"1991","Liquid","Fugen ATR","Aggregated Record","H-3","1.600000e+3"
"2013","Atmospheric","Byron","Byron 1","H-3","2.959090e+1"
"1997","Atmospheric","Angra","Aggregated Record","H-3","3.480000e+3"
"2008","Atmospheric","Byron","Byron 1","Beta/Gamma","4.800000e-6"
"2012","Atmospheric","Kozloduy","Auxiliary building","Iodine","7.830000e-5"
"2017","Atmospheric","Rovno","Rovno-3","Noble Gases","6.450000e+3"
"2014","Atmospheric","Wylfa","Aggregated Record","Noble Gases","8.620000e+3"
"1989","Liquid","Peach Bottom","Aggregated Record","H-3","7.400000e+2"
"2014","Atmospheric","Khmelnitski","Khmelnitski 1","Particulates","3.017000e-3"
"2015","Liquid","Sizewell A","Sizewell A (AA-AB)","Beta/Gamma","4.210000e+1"
"2018","Atmospheric","Zaporozhye","Zaporizhzhia 4","Noble Gases","2.680000e+3"
"2019","Atmospheric","Hanul","Hanul 6","H-3","3.960000e+3"
"2011","Liquid","Millstone","Millstone 2","H-3","3.646225e+2"
"1986","Atmospheric","Genkai","Aggregated Record","Iodine","8.500000e-3"
"2020","Liquid","Wolsong","Wolsong 1","Beta/Gamma","0.000000e+0"
"1996","Atmospheric","Atucha","Aggregated Record","Beta/Gamma","3.800000e-2"
"2007","Liquid","Chapelcross","Aggregated Record","H-3","8.200000e+0"
"2019","Liquid","Almaraz","Aggregated Record","Beta/Gamma","5.748210e+0"
"2019","Atmospheric","Hatch","Hatch 2","Iodine","5.075300e-5"
